"qname"	"qlen"	"qstart"	"qend"	"strand"	"tname"	"tlen"	"tstart"	"tend"	"nmatch"	"alen"	"mapq"	"tp"	"cm"	"s1"	"s2"	"dv"	"rl"	"contig"	"name2"	"name"	"sample_id"	"hap_struc"	"hap_struc_d"	"hap_block_start"	"chrom"	"start"	"end"
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	199598	208391	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	199598	208391
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	419502	428293	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	419502	428293
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	231251	240044	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	231251	240044
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	387844	396635	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	387844	396635
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	293722	302513	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	293722	302513
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	325379	334170	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	325379	334170
"ENST00000414303.7"	1584	4	1583	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	161348	169618	1574	8270	15	"P"	491	1499	1420	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY2A-201"	"2A"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	161348	169618
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG01106#haplotype1#0000048:16666181-17262214"	596033	115017	123441	1720	8424	44	"P"	531	1638	1394	1e-04	0	"AV_HG01106#haplotype1#0000048:16666181-17262214"	"AMY2B-208"	"2B"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-4-9-7-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype1#0000048:16666181-17262214"	115017	123441
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	325399	334191	1769	8792	0	"P"	557	1686	1686	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	325399	334191
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	293744	302536	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	293744	302536
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	231277	240069	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	231277	240069
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	387861	396653	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	387861	396653
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	199620	208413	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY1A-201"	"1"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	199620	208413
"ENST00000414303.7"	1584	4	1583	"+"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	161361	169631	1574	8270	15	"P"	491	1499	1420	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY2A-201"	"2A"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	161361	169631
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG01106#haplotype2#0000932:16673968-17175925"	501957	115036	123458	1720	8422	48	"P"	531	1638	1371	1e-04	0	"AV_HG01106#haplotype2#0000932:16673968-17175925"	"AMY2B-208"	"2B"	"AV_HG01106"	"0-3-7-9-4-6-8-5-2-7-9-4-2-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-7.0-9.0-4.0-2.1-5.1-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01106#haplotype2#0000932:16673968-17175925"	115036	123458
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01175#haplotype1#0000070:46006269-46414083"	407814	293713	302505	1769	8792	0	"P"	557	1686	1686	1e-04	0	"AV_HG01175#haplotype1#0000070:46006269-46414083"	"AMY1A-201"	"1"	"AV_HG01175"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01175#haplotype1#0000070:46006269-46414083"	293713	302505
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01175#haplotype1#0000070:46006269-46414083"	407814	231241	240034	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG01175#haplotype1#0000070:46006269-46414083"	"AMY1A-201"	"1"	"AV_HG01175"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01175#haplotype1#0000070:46006269-46414083"	231241	240034
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01175#haplotype1#0000070:46006269-46414083"	407814	199585	208377	1769	8792	0	"S"	557	1686	NA	1e-04	0	"AV_HG01175#haplotype1#0000070:46006269-46414083"	"AMY1A-201"	"1"	"AV_HG01175"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01175#haplotype1#0000070:46006269-46414083"	199585	208377
"ENST00000414303.7"	1584	4	1583	"+"	"AV_HG01175#haplotype1#0000070:46006269-46414083"	407814	161333	169603	1574	8270	30	"P"	491	1499	1342	1e-04	0	"AV_HG01175#haplotype1#0000070:46006269-46414083"	"AMY2A-201"	"2A"	"AV_HG01175"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01175#haplotype1#0000070:46006269-46414083"	161333	169603
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG01175#haplotype1#0000070:46006269-46414083"	407814	115004	123428	1720	8424	48	"P"	531	1638	1371	1e-04	0	"AV_HG01175#haplotype1#0000070:46006269-46414083"	"AMY2B-208"	"2B"	"AV_HG01175"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG01175#haplotype1#0000070:46006269-46414083"	115004	123428
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01361#haplotype1#0000023:101593539-102001341"	407802	199643	208434	1769	8791	0	"P"	557	1686	1686	1e-04	0	"AV_HG01361#haplotype1#0000023:101593539-102001341"	"AMY1A-201"	"1"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-1.0"	99	"AV_HG01361#haplotype1#0000023:101593539-102001341"	199643	208434
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01361#haplotype1#0000023:101593539-102001341"	407802	293750	302541	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01361#haplotype1#0000023:101593539-102001341"	"AMY1A-201"	"1"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-1.0"	99	"AV_HG01361#haplotype1#0000023:101593539-102001341"	293750	302541
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG01361#haplotype1#0000023:101593539-102001341"	407802	231294	240085	1769	8791	0	"S"	557	1686	NA	1e-04	0	"AV_HG01361#haplotype1#0000023:101593539-102001341"	"AMY1A-201"	"1"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-1.0"	99	"AV_HG01361#haplotype1#0000023:101593539-102001341"	231294	240085
"ENST00000414303.7"	1584	4	1579	"+"	"AV_HG01361#haplotype1#0000023:101593539-102001341"	407802	161390	169656	1559	8266	27	"P"	483	1484	1342	0.0011	0	"AV_HG01361#haplotype1#0000023:101593539-102001341"	"AMY2A-201"	"2A"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-1.0"	99	"AV_HG01361#haplotype1#0000023:101593539-102001341"	161390	169656
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG01361#haplotype1#0000023:101593539-102001341"	407802	115070	123492	1720	8422	48	"P"	531	1638	1371	1e-04	0	"AV_HG01361#haplotype1#0000023:101593539-102001341"	"AMY2B-208"	"2B"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.1-2.0-1.0"	99	"AV_HG01361#haplotype1#0000023:101593539-102001341"	115070	123492
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG01361#haplotype2#0001322:101872897-102186552"	313655	199626	208417	1769	8791	50	"P"	557	1686	1397	1e-04	0	"AV_HG01361#haplotype2#0001322:101872897-102186552"	"AMY1A-201"	"1"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-1.0"	99	"AV_HG01361#haplotype2#0001322:101872897-102186552"	199626	208417
"ENST00000414303.7"	1584	4	1579	"+"	"AV_HG01361#haplotype2#0001322:101872897-102186552"	313655	161367	169633	1563	8266	28	"P"	484	1488	1342	0.001	0	"AV_HG01361#haplotype2#0001322:101872897-102186552"	"AMY2A-201"	"2A"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-1.0"	99	"AV_HG01361#haplotype2#0001322:101872897-102186552"	161367	169633
"ENST00000610648.1"	1736	4	1733	"+"	"AV_HG01361#haplotype2#0001322:101872897-102186552"	313655	115042	123464	1720	8422	51	"P"	531	1638	1351	1e-04	0	"AV_HG01361#haplotype2#0001322:101872897-102186552"	"AMY2B-208"	"2B"	"AV_HG01361"	"0-3-7-9-4-6-8-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-1.0"	99	"AV_HG01361#haplotype2#0001322:101872897-102186552"	115042	123464
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG02148#haplotype2#0002863:16304803-16712699"	407896	293780	302572	1769	8792	0	"P"	557	1686	1686	1e-04	0	"AV_HG02148#haplotype2#0002863:16304803-16712699"	"AMY1A-201"	"1"	"AV_HG02148"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG02148#haplotype2#0002863:16304803-16712699"	293780	302572
"ENST00000370083.9"	1785	2	1784	"-"	"AV_HG02148#haplotype2#0002863:16304803-16712699"	407896	231316	240110	1769	8794	0	"S"	557	1686	NA	1e-04	0	"AV_HG02148#haplotype2#0002863:16304803-16712699"	"AMY1A-201"	"1"	"AV_HG02148"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG02148#haplotype2#0002863:16304803-16712699"	231316	240110
"ENST00000370083.9"	1785	2	1784	"+"	"AV_HG02148#haplotype2#0002863:16304803-16712699"	407896	199660	208453	1769	8793	0	"S"	557	1686	NA	1e-04	0	"AV_HG02148#haplotype2#0002863:16304803-16712699"	"AMY1A-201"	"1"	"AV_HG02148"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG02148#haplotype2#0002863:16304803-16712699"	199660	208453
"ENST00000414303.7"	1584	4	1583	"+"	"AV_HG02148#haplotype2#0002863:16304803-16712699"	407896	161403	169673	1574	8270	30	"P"	491	1499	1342	1e-04	0	"AV_HG02148#haplotype2#0002863:16304803-16712699"	"AMY2A-201"	"2A"	"AV_HG02148"	"0-3-7-9-4-6-8-5-2-4-9-7-2-5-2-1"	"0.0-3.0-7.0-9.0-4.0-6.0-8.0-5.0-2.0-4.1-9.1-7.1-2.1-5.0-2.0-1.0"	100	"AV_HG02148#haplotype2#0002863:16304803-16712699"	161403	169673
