"qname"	"qlen"	"qstart"	"qend"	"strand"	"tname"	"tlen"	"tstart"	"tend"	"nmatch"	"alen"	"mapq"	"tp"	"cm"	"s1"	"s2"	"dv"	"rl"	"contig"	"name2"	"name"	"hap_struc"	"hap_struc_d"	"hap_block_start"	"chrom"	"start"	"end"
"ENST00000370083.9"	1785	2	1784	"+"	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	406848	293745	302535	1769	8790	0	"S"	557	1686	NA	1e-04	0	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.0-2.0-5.0-4.0-3.0-0.0"	51519317	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	293745	302535
"ENST00000370083.9"	1785	2	1784	"+"	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	406848	199620	208411	1769	8791	0	"S"	557	1686	NA	1e-04	0	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	"AMY1A-201"	"1"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.0-2.0-5.0-4.0-3.0-0.0"	51519317	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	199620	208411
"ENST00000414303.7"	1584	4	1583	"+"	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	406848	161362	169632	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	"AMY2A-201"	"2A"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.0-2.0-5.0-4.0-3.0-0.0"	51519317	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	161362	169632
"ENST00000610648.1"	1736	4	1733	"+"	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	406848	115023	123445	1720	8422	48	"P"	531	1638	1371	1e-04	0	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	"AMY2B-208"	"2B"	"1-2-5-2-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-4.0-2.0-5.0-4.0-3.0-0.0"	51519317	"HG005#1#JAHEPO010000002.1_51519219_51926067_0"	115023	123445
"ENST00000370083.9"	1785	2	1784	"+"	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	407860	199623	208415	1769	8792	0	"P"	557	1686	1686	1e-04	0	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	51542309	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	199623	208415
"ENST00000370083.9"	1785	2	1784	"+"	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	407860	293767	302559	1769	8792	0	"S"	557	1686	NA	1e-04	0	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	51542309	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	293767	302559
"ENST00000370083.9"	1785	2	1784	"-"	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	407860	231275	240068	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	51542309	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	231275	240068
"ENST00000414303.7"	1584	4	1583	"+"	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	407860	161365	169635	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	"AMY2A-201"	"2A"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	51542309	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	161365	169635
"ENST00000610648.1"	1736	4	1733	"+"	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	407860	115040	123464	1720	8424	48	"P"	531	1638	1371	1e-04	0	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	"AMY2B-208"	"2B"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	51542309	"HG005#2#JAHEPN010000023.1_51542210_51950070_0"	115040	123464
"ENST00000370083.9"	1785	2	1784	"+"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	293828	302620	1769	8792	0	"P"	557	1686	1686	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	293828	302620
"ENST00000370083.9"	1785	2	1784	"-"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	231335	240128	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	231335	240128
"ENST00000370083.9"	1785	2	1784	"+"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	199680	208474	1769	8794	0	"S"	557	1686	NA	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	199680	208474
"ENST00000370083.9"	1785	2	1784	"+"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	387982	396774	1769	8792	0	"S"	557	1686	NA	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	387982	396774
"ENST00000370083.9"	1785	2	1784	"-"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	325489	334282	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	325489	334282
"ENST00000414303.7"	1584	4	1583	"+"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	161422	169692	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY2A-201"	"2A"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	161422	169692
"ENST00000610648.1"	1736	4	1733	"+"	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	501101	115093	123517	1720	8424	48	"P"	531	1638	1371	1e-04	0	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	"AMY2B-208"	"2B"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.1-2.1-6.1-4.1-2.0-5.1-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	2123152	"HG00621#1#JAHBCD010000034.1_2122997_2624098_1"	115093	123517
"ENST00000370083.9"	1785	2	1784	"+"	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	407866	293780	302572	1769	8792	0	"P"	557	1686	1686	1e-04	0	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16670098	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	293780	302572
"ENST00000370083.9"	1785	2	1784	"+"	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	407866	199648	208439	1769	8791	0	"S"	557	1686	NA	1e-04	0	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16670098	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	199648	208439
"ENST00000370083.9"	1785	2	1784	"-"	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	407866	231306	240098	1769	8792	0	"S"	557	1686	NA	1e-04	0	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16670098	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	231306	240098
"ENST00000414303.7"	1584	4	1583	"+"	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	407866	161404	169674	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	"AMY2A-201"	"2A"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16670098	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	161404	169674
"ENST00000610648.1"	1736	4	1733	"+"	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	407866	115075	123499	1720	8424	48	"P"	531	1638	1371	1e-04	0	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	"AMY2B-208"	"2B"	"1-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16670098	"HG00621#2#JAHBCC010000031.1_16669999_17077865_0"	115075	123499
"ENST00000370083.9"	1785	2	1784	"+"	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	313681	199649	208440	1769	8791	50	"P"	557	1686	1397	1e-04	0	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	"AMY1A-201"	"1"	"1-2-5-4-6-3-0"	"1.0-2.0-5.0-4.0-6.0-3.0-0.0"	16660268	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	199649	208440
"ENST00000414303.7"	1584	4	1579	"+"	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	313681	161398	169664	1563	8266	28	"P"	484	1488	1342	0.001	0	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	"AMY2A-201"	"2A"	"1-2-5-4-6-3-0"	"1.0-2.0-5.0-4.0-6.0-3.0-0.0"	16660268	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	161398	169664
"ENST00000610648.1"	1736	4	1733	"+"	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	313681	115082	123504	1720	8422	51	"P"	531	1638	1351	1e-04	0	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	"AMY2B-208"	"2B"	"1-2-5-4-6-3-0"	"1.0-2.0-5.0-4.0-6.0-3.0-0.0"	16660268	"HG00673#1#JAHBBZ010000075.1_16660170_16973851_0"	115082	123504
"ENST00000370083.9"	1785	2	1784	"+"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	387922	396714	1769	8792	0	"P"	557	1686	1686	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	387922	396714
"ENST00000370083.9"	1785	2	1784	"-"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	231288	240081	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	231288	240081
"ENST00000370083.9"	1785	2	1784	"+"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	293783	302575	1769	8792	0	"S"	557	1686	NA	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	293783	302575
"ENST00000370083.9"	1785	2	1784	"+"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	199631	208424	1769	8793	0	"S"	557	1686	NA	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	199631	208424
"ENST00000370083.9"	1785	2	1784	"-"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	325440	334231	1769	8791	0	"S"	557	1686	NA	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY1A-201"	"1"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	325440	334231
"ENST00000414303.7"	1584	4	1583	"+"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	161377	169647	1574	8270	16	"P"	491	1499	1417	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY2A-201"	"2A"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	161377	169647
"ENST00000610648.1"	1736	4	1733	"+"	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	502012	115051	123475	1720	8424	48	"P"	531	1638	1371	1e-04	0	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	"AMY2B-208"	"2B"	"1-2-5-2-6-4-2-5-2-6-4-2-5-4-3-0"	"1.0-2.0-5.0-2.1-6.1-4.1-2.0-5.0-2.1-6.1-4.1-2.0-5.0-4.0-3.0-0.0"	16675482	"HG00673#2#JAHBBY010000109.1_16675383_17177395_0"	115051	123475
"ENST00000370083.9"	1785	2	1784	"+"	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	313660	199565	208357	1769	8792	49	"P"	557	1686	1404	1e-04	0	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	"AMY1A-201"	"1"	"1-2-5-4-3-0"	"1.0-2.0-5.0-4.0-3.0-0.0"	46106934	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	199565	208357
"ENST00000414303.7"	1584	4	1583	"+"	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	313660	161311	169581	1574	8270	30	"P"	491	1499	1342	1e-04	0	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	"AMY2A-201"	"2A"	"1-2-5-4-3-0"	"1.0-2.0-5.0-4.0-3.0-0.0"	46106934	"HG00733#1#JAHEPQ010000019.1_46106835_46420495_0"	161311	169581
